"unique_id","date_of_bite","species","breed","age","gender","spay_neuter","borough","zip_code","pit_bull","zip_match","zip_code_imputed"
5106,2017-09-29,"DOG","Mastiff, Bull",6,"F",TRUE,"Manhattan",NA,FALSE,NA,"10034"
5107,2017-09-29,"DOG","Shih Tzu",2,"M",FALSE,"Manhattan",NA,FALSE,NA,"10014"
5108,2017-10-03,"DOG","Boston Terrier",NA,"U",FALSE,"Manhattan","10065",FALSE,TRUE,"10065"
5109,2017-09-30,"DOG","Jack Russ",13,"F",TRUE,"Manhattan","10003",FALSE,TRUE,"10003"
5110,2017-10-02,"DOG","Labrador Retriever",3,"M",TRUE,"Manhattan","10014",FALSE,TRUE,"10014"
5111,2017-10-02,"DOG","Bull dog",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10011"
5112,2017-09-30,"DOG","Beagle",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10018"
5113,2017-10-05,"DOG","Australian Shepherd",NA,"U",FALSE,"Manhattan","10009",FALSE,TRUE,"10009"
5114,2017-09-28,"DOG","American Pit Bull Mix / Pit Bull Mix",2,"F",TRUE,"Manhattan","10128",TRUE,TRUE,"10128"
5115,2017-10-03,"DOG","MALTIPOO",5,"U",FALSE,"Manhattan",NA,FALSE,NA,"10014"
5116,2017-10-04,"DOG","Poodle, Standard",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10016"
5117,2017-10-04,"DOG","JACK RUSSELL TERRIER/ BASENJI MIX",11,"F",TRUE,"Manhattan","10282",FALSE,TRUE,"10282"
5118,2017-10-06,"DOG","German Shepherd",NA,"M",FALSE,"Manhattan","10007",FALSE,TRUE,"10007"
5119,2017-10-08,"DOG","SHIH TZU MALTESE MIX",NA,"M",TRUE,"Manhattan","10075",FALSE,TRUE,"10075"
5120,2017-10-09,"DOG","Mixed/Other",NA,"U",FALSE,"Manhattan","10010",FALSE,TRUE,"10010"
5121,2017-10-05,"DOG","Greyhound",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10025"
5122,2017-10-05,"DOG","Mixed/Other",NA,"U",FALSE,"Manhattan","10025",FALSE,TRUE,"10025"
5123,2017-09-28,"DOG","Pit Bull",NA,"F",FALSE,"Manhattan","10128",TRUE,TRUE,"10128"
